Run,Method,Correctly Identified Poison,Fraction Correct (Poison),Total Poison
1,ISO,775,0.35436671239140377,2187
1,ABOD,390,0.17832647462277093,2187
1,CBLOF,221,0.10105166895290352,2187
2,ISO,766,0.3481818181818182,2200
2,ABOD,406,0.18454545454545454,2200
2,CBLOF,245,0.11136363636363636,2200
3,ISO,721,0.3293741434444952,2189
3,ABOD,381,0.17405207857469163,2189
3,CBLOF,234,0.10689812699862951,2189
4,ISO,688,0.3125851885506588,2201
4,ABOD,375,0.1703771013175829,2201
4,CBLOF,222,0.10086324398000909,2201
5,ISO,761,0.34496826835902084,2206
5,ABOD,364,0.16500453309156846,2206
5,CBLOF,194,0.08794197642792384,2206
6,ISO,858,0.39,2200
6,ABOD,377,0.17136363636363636,2200
6,CBLOF,223,0.10136363636363636,2200
7,ISO,742,0.33958810068649886,2185
7,ABOD,395,0.18077803203661327,2185
7,CBLOF,220,0.10068649885583524,2185
8,ISO,742,0.33788706739526414,2196
8,ABOD,381,0.17349726775956284,2196
8,CBLOF,232,0.10564663023679417,2196
9,ISO,748,0.33922902494331064,2205
9,ABOD,385,0.1746031746031746,2205
9,CBLOF,255,0.11564625850340136,2205
10,ISO,769,0.3509812870835235,2191
10,ABOD,404,0.18439068918302146,2191
10,CBLOF,248,0.11319032405294387,2191
11,ISO,790,0.3600729261622607,2194
11,ABOD,382,0.1741112123974476,2194
11,CBLOF,216,0.09845031905195989,2194
12,ISO,821,0.3736913973600364,2197
12,ABOD,378,0.17205279927173417,2197
12,CBLOF,229,0.10423304506144743,2197
13,ISO,709,0.32344890510948904,2192
13,ABOD,398,0.18156934306569342,2192
13,CBLOF,236,0.10766423357664233,2192
14,ISO,789,0.35847342117219444,2201
14,ABOD,387,0.17582916855974556,2201
14,CBLOF,226,0.10268059972739664,2201
15,ISO,797,0.3627674101046882,2197
15,ABOD,389,0.17705962676376877,2197
15,CBLOF,226,0.10286754665452891,2197
16,ISO,707,0.3244607618173474,2179
16,ABOD,398,0.18265259293253785,2179
16,CBLOF,231,0.10601193207893529,2179
17,ISO,697,0.31710646041856233,2198
17,ABOD,399,0.18152866242038215,2198
17,CBLOF,237,0.1078252957233849,2198
18,ISO,742,0.33742610277398816,2199
18,ABOD,385,0.17507958162801274,2199
18,CBLOF,223,0.10140973169622555,2199
19,ISO,751,0.3444954128440367,2180
19,ABOD,384,0.1761467889908257,2180
19,CBLOF,236,0.10825688073394496,2180
20,ISO,666,0.3045267489711934,2187
20,ABOD,394,0.18015546410608138,2187
20,CBLOF,234,0.10699588477366255,2187
21,ISO,774,0.35342465753424657,2190
21,ABOD,375,0.17123287671232876,2190
21,CBLOF,218,0.09954337899543379,2190
22,ISO,733,0.3345504335919671,2191
22,ABOD,403,0.18393427658603378,2191
22,CBLOF,244,0.11136467366499316,2191
23,ISO,695,0.31490711372904395,2207
23,ABOD,376,0.1703670140462166,2207
23,CBLOF,236,0.10693248753964658,2207
24,ISO,701,0.3199452304883615,2191
24,ABOD,368,0.16795983569146508,2191
24,CBLOF,214,0.09767229575536285,2191
25,ISO,687,0.31227272727272726,2200
25,ABOD,362,0.16454545454545455,2200
25,CBLOF,218,0.09909090909090909,2200
26,ISO,818,0.3740283493369913,2187
26,ABOD,391,0.17878372199359854,2187
26,CBLOF,225,0.102880658436214,2187
27,ISO,769,0.3505013673655424,2194
27,ABOD,401,0.182771194165907,2194
27,CBLOF,266,0.12123974475843209,2194
28,ISO,754,0.34350797266514804,2195
28,ABOD,389,0.17722095671981777,2195
28,CBLOF,212,0.09658314350797266,2195
29,ISO,820,0.37272727272727274,2200
29,ABOD,414,0.18818181818181817,2200
29,CBLOF,251,0.11409090909090909,2200
30,ISO,692,0.3135478024467603,2207
30,ABOD,406,0.18396012686905303,2207
30,CBLOF,238,0.10783869506116901,2207
31,ISO,638,0.2898682417083144,2201
31,ABOD,377,0.1712857791912767,2201
31,CBLOF,217,0.09859154929577464,2201
32,ISO,692,0.3187471211423307,2171
32,ABOD,394,0.18148318747121142,2171
32,CBLOF,239,0.11008751727314602,2171
33,ISO,760,0.3452975920036347,2201
33,ABOD,411,0.18673330304407088,2201
33,CBLOF,250,0.11358473421172194,2201
34,ISO,861,0.3940503432494279,2185
34,ABOD,390,0.17848970251716248,2185
34,CBLOF,230,0.10526315789473684,2185
35,ISO,817,0.37477064220183487,2180
35,ABOD,377,0.17293577981651376,2180
35,CBLOF,238,0.10917431192660551,2180
36,ISO,685,0.31178880291306327,2197
36,ABOD,390,0.17751479289940827,2197
36,CBLOF,224,0.10195721438324988,2197
37,ISO,731,0.3344007319304666,2186
37,ABOD,384,0.1756633119853614,2186
37,CBLOF,217,0.09926806953339433,2186
38,ISO,749,0.3424782807498857,2187
38,ABOD,393,0.17969821673525377,2187
38,CBLOF,220,0.1005944215820759,2187
39,ISO,813,0.37327823691460055,2178
39,ABOD,403,0.18503213957759412,2178
39,CBLOF,235,0.1078971533516988,2178
40,ISO,764,0.34790528233151186,2196
40,ABOD,379,0.1725865209471767,2196
40,CBLOF,231,0.1051912568306011,2196
41,ISO,847,0.38817598533455544,2182
41,ABOD,396,0.18148487626031165,2182
41,CBLOF,220,0.1008249312557287,2182
42,ISO,778,0.3552511415525114,2190
42,ABOD,387,0.17671232876712328,2190
42,CBLOF,213,0.09726027397260274,2190
43,ISO,789,0.35945330296127564,2195
43,ABOD,383,0.1744874715261959,2195
43,CBLOF,220,0.10022779043280182,2195
44,ISO,749,0.34045454545454545,2200
44,ABOD,409,0.1859090909090909,2200
44,CBLOF,270,0.12272727272727273,2200
45,ISO,737,0.3374542124542125,2184
45,ABOD,363,0.1662087912087912,2184
45,CBLOF,203,0.09294871794871795,2184
46,ISO,845,0.38269927536231885,2208
46,ABOD,394,0.17844202898550723,2208
46,CBLOF,253,0.11458333333333333,2208
47,ISO,773,0.3521640091116173,2195
47,ABOD,412,0.1876993166287016,2195
47,CBLOF,240,0.10933940774487472,2195
48,ISO,705,0.3219178082191781,2190
48,ABOD,402,0.18356164383561643,2190
48,CBLOF,232,0.10593607305936073,2190
49,ISO,831,0.3787602552415679,2194
49,ABOD,368,0.16773017319963537,2194
49,CBLOF,238,0.10847766636280766,2194
50,ISO,751,0.34214123006833713,2195
50,ABOD,384,0.17494305239179955,2195
