Run,Method,Correctly Identified Poison,Fraction Correct (Poison),Total Poison
1,ISO,89,0.445,200
1,ABOD,73,0.365,200
1,CBLOF,48,0.24,200
2,ISO,87,0.435,200
2,ABOD,65,0.325,200
2,CBLOF,52,0.26,200
3,ISO,86,0.43,200
3,ABOD,63,0.315,200
3,CBLOF,52,0.26,200
4,ISO,64,0.32,200
4,ABOD,62,0.31,200
4,CBLOF,58,0.29,200
5,ISO,73,0.365,200
5,ABOD,65,0.325,200
5,CBLOF,61,0.305,200
6,ISO,77,0.385,200
6,ABOD,61,0.305,200
6,CBLOF,49,0.245,200
7,ISO,72,0.36,200
7,ABOD,61,0.305,200
7,CBLOF,47,0.235,200
8,ISO,75,0.375,200
8,ABOD,57,0.285,200
8,CBLOF,54,0.27,200
9,ISO,82,0.41,200
9,ABOD,57,0.285,200
9,CBLOF,50,0.25,200
10,ISO,75,0.375,200
10,ABOD,68,0.34,200
10,CBLOF,51,0.255,200
11,ISO,70,0.35,200
11,ABOD,71,0.355,200
11,CBLOF,55,0.275,200
12,ISO,86,0.43,200
12,ABOD,58,0.29,200
12,CBLOF,42,0.21,200
13,ISO,73,0.365,200
13,ABOD,61,0.305,200
13,CBLOF,61,0.305,200
14,ISO,70,0.35,200
14,ABOD,68,0.34,200
14,CBLOF,56,0.28,200
15,ISO,66,0.33,200
15,ABOD,67,0.335,200
15,CBLOF,49,0.245,200
16,ISO,85,0.425,200
16,ABOD,64,0.32,200
16,CBLOF,63,0.315,200
17,ISO,80,0.4,200
17,ABOD,59,0.295,200
17,CBLOF,51,0.255,200
18,ISO,88,0.44,200
18,ABOD,63,0.315,200
18,CBLOF,49,0.245,200
19,ISO,66,0.33,200
19,ABOD,73,0.365,200
19,CBLOF,58,0.29,200
20,ISO,72,0.36,200
20,ABOD,61,0.305,200
20,CBLOF,50,0.25,200
21,ISO,88,0.44,200
21,ABOD,61,0.305,200
21,CBLOF,52,0.26,200
22,ISO,71,0.355,200
22,ABOD,63,0.315,200
22,CBLOF,54,0.27,200
23,ISO,63,0.315,200
23,ABOD,71,0.355,200
23,CBLOF,49,0.245,200
24,ISO,75,0.375,200
24,ABOD,63,0.315,200
24,CBLOF,54,0.27,200
25,ISO,75,0.375,200
25,ABOD,61,0.305,200
25,CBLOF,54,0.27,200
26,ISO,83,0.415,200
26,ABOD,55,0.275,200
26,CBLOF,51,0.255,200
27,ISO,80,0.4,200
27,ABOD,67,0.335,200
27,CBLOF,51,0.255,200
28,ISO,68,0.34,200
28,ABOD,66,0.33,200
28,CBLOF,44,0.22,200
29,ISO,81,0.405,200
29,ABOD,61,0.305,200
29,CBLOF,46,0.23,200
30,ISO,77,0.385,200
30,ABOD,57,0.285,200
30,CBLOF,44,0.22,200
31,ISO,72,0.36,200
31,ABOD,63,0.315,200
31,CBLOF,42,0.21,200
32,ISO,76,0.38,200
32,ABOD,62,0.31,200
32,CBLOF,45,0.225,200
33,ISO,84,0.42,200
33,ABOD,62,0.31,200
33,CBLOF,54,0.27,200
34,ISO,76,0.38,200
34,ABOD,62,0.31,200
